Q3	18.80	128.27	0.00	ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	23.62	105.92	198.50	3k3	ERA-1AEB3401C_0201
R18	19.20	112.88	0.00	3k3	ERA-1AEB3401C_0201
R1_EP_DR	17.17	130.71	0.00	0.47	ERA-1AEB3401C_0201
R1_USB	20.57	129.24	0.00	5K1	CPF0201D7K68C1_0201
R2	21.18	113.41	72.90	0	ERA-1AEB3401C_0201
R2_EP_DR	17.73	131.42	0.00	10K	ERA-1AEB3401C_0201
R2_USB	20.62	130.61	0.00	5K1	CPF0201D7K68C1_0201
R3	23.37	117.40	0.00	0	ERA-1AEB3401C_0201
R4	22.58	106.87	0.00	0	ERA-1AEB3401C_0201
R5	13.46	103.28	0.00	10k	ERA-1AEB3401C_0201
R7	38.15	105.21	0.00	10k	ERA-1AEB3401C_0201
R8	24.23	114.21	0.00	10k	ERA-1AEB3401C_0201
R9	33.63	124.47	0.00	10k	CPF0201D7K68C1_0201
R_PWR_EPD	25.70	118.26	0.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	19.71	123.75	0.00	2.2	ERA-1AEB3401C_0201
SJ1	19.20	125.37	0.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	37.85	101.39	180.60	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	26.93	101.33	180.20	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	15.85	101.38	179.70	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1	46.28	110.77	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP2	47.36	101.27	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP3	40.61	103.17	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP4	39.48	105.51	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3.3V	22.66	122.63	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	17.42	105.21	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	11.89	124.05	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	28.40	114.10	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	28.09	109.83	341.90	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	28.55	105.29	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	32.46	117.40	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	46.28	117.20	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	44.04	115.32	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	26.47	112.07	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	40.36	121.52	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	43.98	103.91	0.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	46.74	122.94	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
